Date,Site,NR_5152a,cluster
2024-02-20 07:00:00,BOG.Lourdes,68.97918731417245,BOG
2024-02-20 07:00:00,BOG.Bosque Popular,25.0,BOG
2024-02-20 08:00:00,BOG.Arqueologico,0.0,BOG
2024-02-20 08:00:00,BOG.Marly-2,0.0,BOG
2024-02-20 08:00:00,BOG.Federman,92.54166666666669,BOG
2024-02-20 08:00:00,BOG.Bosque Popular,25.0,BOG
2024-02-20 08:00:00,BOG.Rincon Modelia,75.0,BOG
2024-02-20 08:00:00,BOG.Santo Tomas,50.0,BOG
2024-02-20 08:00:00,BOG.Andino-1,73.43540155788342,BOG
2024-02-20 08:00:00,BOG.Colsubsidio 63,0.0,BOG
2024-02-20 08:00:00,BOG.IND Fundacion Santafe-4,0.0,BOG
2024-02-20 08:00:00,BOG.Lourdes-1,77.55555555555556,BOG
2024-02-20 08:00:00,BOG.Royal-3,0.0,BOG
2024-02-20 09:00:00,BOG.Colsubsidio 63,0.0,BOG
2024-02-20 09:00:00,BOG.Santo Tomas,50.0,BOG
2024-02-20 09:00:00,BOG.Rb Ricaurte-2:H1,88.7694145758662,BOG
2024-02-20 09:00:00,BOG.Rincon Modelia,75.0,BOG
2024-02-20 09:00:00,BOG.Aures-2,98.91666666666669,BOG
2024-02-20 09:00:00,BOG.Terminal-1,88.07638888888889,BOG
2024-02-20 09:00:00,BOG.Salitre Plaza,95.71135558456088,BOG
2024-02-20 09:00:00,BOG.Lourdes-1,48.18518518518518,BOG
2024-02-20 09:00:00,BOG.Royal-3,1.547205557309757,BOG
2024-02-20 09:00:00,BOG.Retiro-2,93.05555555555556,BOG
2024-02-20 09:00:00,BOG.IND Fundacion Santafe-4,0.0,BOG
2024-02-20 09:00:00,BOG.Arqueologico,0.0,BOG
2024-02-20 09:00:00,BOG.Bosque Popular,25.0,BOG
2024-02-20 09:00:00,BOG.Federman,89.09722222222223,BOG
2024-02-20 10:00:00,BOG.Salitre Plaza,52.633390705679865,BOG
2024-02-20 10:00:00,BOG.Lourdes-1,58.907407407407405,BOG
2024-02-20 10:00:00,BOG.IND Fundacion Santafe-4,0.0,BOG
2024-02-20 10:00:00,BOG.Terminal-1,50.2712100139082,BOG
2024-02-20 10:00:00,BOG.Rincon Modelia,75.0,BOG
2024-02-20 10:00:00,BOG.Colsubsidio 63,0.0,BOG
2024-02-20 10:00:00,BOG.Santo Tomas,50.0,BOG
2024-02-20 10:00:00,BOG.Bosque Popular,25.0,BOG
2024-02-20 10:00:00,BOG.Ingemar,76.23611111111111,BOG
2024-02-20 10:00:00,BOG.U Gran Colombia,98.05555555555556,BOG
2024-02-20 10:00:00,BOG.Federman,89.89583333333333,BOG
2024-02-20 10:00:00,BOG.Rb Ricaurte-2:H1,97.59677123463584,BOG
2024-02-20 10:00:00,BOG.Royal-3,56.75,BOG
2024-02-20 10:00:00,BOG.Arqueologico,0.0,BOG
2024-02-20 11:00:00,BOG.IND Fundacion Santafe-4,0.0,BOG
2024-02-20 11:00:00,BOG.Ingemar,0.0,BOG
2024-02-20 11:00:00,BOG.San Patricio-2,97.70370370370372,BOG
2024-02-20 11:00:00,BOG.El Lago-2,83.54462474645031,BOG
2024-02-20 11:00:00,BOG.Terminal-2,93.61805555555556,BOG
2024-02-20 11:00:00,BOG.Bosque Popular,25.0,BOG
2024-02-20 11:00:00,BOG.Royal-3,0.0,BOG
2024-02-20 11:00:00,BOG.Normandia-2,94.66981132075472,BOG
2024-02-20 11:00:00,BOG.Arqueologico,0.0,BOG
2024-02-20 11:00:00,BOG.La Magdalena-2,93.32638888888889,BOG
2024-02-20 11:00:00,BOG.Salitre Plaza,85.48148148148148,BOG
2024-02-20 11:00:00,BOG.Santo Tomas,50.0,BOG
2024-02-20 11:00:00,BOG.Armenia-2,47.53703703703704,BOG
2024-02-20 11:00:00,BOG.Colsubsidio 63,0.0,BOG
2024-02-20 11:00:00,BOG.Rincon Modelia,66.22222222222223,BOG
